Prestador;Sigla do Prestador;Natureza jurídica;Natureza jurídica_b;Natureza jurídica_c
Prefeitura Municipal de Serrita;PMS;Administração pública direta;Pública;Pública
Prefeitura Municipal de Sertaneja;PMS;Administração pública direta;Pública;Pública
Prefeitura Municipal de Sertania;PMS;Administração pública direta;Pública;Pública
Prefeitura Municipal de Silveirania;PMS;Administração pública direta;Pública;Pública
Prefeitura Municipal de Silves;PMS;Administração pública direta;Pública;Pública
Prefeitura Municipal de Silvianópolis;PMS;Administração pública direta;Pública;Pública
Prefeitura Municipal de Simonésia;pmsim;Administração pública direta;Pública;Pública
Prefeitura Municipal de Simplício Mendes;PMSM;Administração pública direta;Pública;Pública
Prefeitura Municipal de Sinimbu;PMS;Administração pública direta;Pública;Pública
Prefeitura Municipal de Solidão;PMS;Administração pública direta;Pública;Pública
Prefeitura Municipal de Solonópole;PMS;Administração pública direta;Pública;Pública
Prefeitura Municipal de Sombrio;PMS;Administração pública direta;Pública;Pública
Prefeitura Municipal de Sul Brasil;PMSB;Administração pública direta;Pública;Pública
Prefeitura Municipal de Sumidouro;PMS;Administração pública direta;Pública;Pública
Prefeitura Municipal de Sussuapara;PMS;Administração pública direta;Pública;Pública
Prefeitura Municipal de Suzanápolis;PMS;Administração pública direta;Pública;Pública
Prefeitura Municipal de Tabapuã;PMT;Administração pública direta;Pública;Pública
Prefeitura Municipal de Tabocas do Brejo Velho;PMTBV;Administração pública direta;Pública;Pública
Prefeitura Municipal de Taiaçu;PMT;Administração pública direta;Pública;Pública
Prefeitura Municipal de Taiuva;PMT;Administração pública direta;Pública;Pública
Prefeitura Municipal de Tambaú;DEMAET;Administração pública direta;Pública;Pública
Prefeitura Municipal de Tangará;PMT;Administração pública direta;Pública;Pública
Prefeitura Municipal de Tanhaçu;PMT;Administração pública direta;Pública;Pública
Prefeitura Municipal de Tapejara;PMT;Administração pública direta;Pública;Pública
Prefeitura Municipal de Tapiramutá;PMT;Administração pública direta;Pública;Pública
Prefeitura Municipal de Tapiratiba;PMT;Administração pública direta;Pública;Pública
Prefeitura Municipal de Tapurah;PMT;Administração pública direta;Pública;Pública
Prefeitura Municipal de Taquaral;PMT;Administração pública direta;Pública;Pública
Prefeitura Municipal de Taquarana;PMT;Administração pública direta;Pública;Pública
Prefeitura Municipal de Tarumirim;PMT;Administração pública direta;Pública;Pública
Prefeitura Municipal de Tavares;PMT;Administração pública direta;Pública;Pública
Prefeitura Municipal de Tenório;PMT;Administração pública direta;Pública;Pública
Prefeitura Municipal de Teofilândia;PMT;Administração pública direta;Pública;Pública
Prefeitura Municipal de Teolândia;PMT;Administração pública direta;Pública;Pública
Prefeitura Municipal de Terra Alta;PMTA;Administração pública direta;Pública;Pública
Prefeitura Municipal de Terra Nova;PMTN;Administração pública direta;Pública;Pública
Prefeitura Municipal de Teutônia;PMT;Administração pública direta;Pública;Pública
Prefeitura Municipal de Tigrinhos;PMT;Administração pública direta;Pública;Pública
Prefeitura Municipal de Timbauba dos Batistas;PMTB;Administração pública direta;Pública;Pública
Prefeitura Municipal de Tio Hugo;PMTH;Administração pública direta;Pública;Pública
Prefeitura Municipal de Tiros;PMT;Administração pública direta;Pública;Pública
Prefeitura Municipal de Tobias Barreto;PMTB;Administração pública direta;Pública;Pública
Prefeitura Municipal de Tocantins;PMT;Administração pública direta;Pública;Pública
Prefeitura Municipal de Tomé-Açu;DAE;Administração pública direta;Pública;Pública
Prefeitura Municipal de Toropi;PMT;Administração pública direta;Pública;Pública
Prefeitura Municipal de Três Arroios;PMTA;Administração pública direta;Pública;Pública
Prefeitura Municipal de Três Forquilhas;PMRF;Administração pública direta;Pública;Pública
Prefeitura Municipal de Triunfo;PMT;Administração pública direta;Pública;Pública
Prefeitura Municipal de Trizidela do Vale;PMTV;Administração pública direta;Pública;Pública
Prefeitura Municipal de Tuiuti;PMT;Administração pública direta;Pública;Pública
Prefeitura Municipal de Tumiritinga;PMT;Administração pública direta;Pública;Pública
Prefeitura Municipal de Tunápolis;PMT;Administração pública direta;Pública;Pública
Prefeitura Municipal de Tupanci do Sul;PMTS;Administração pública direta;Pública;Pública
Prefeitura Municipal de Tupandi;PMT;Administração pública direta;Pública;Pública
Prefeitura Municipal de Tupãssi;PMT;Administração pública direta;Pública;Pública
Prefeitura Municipal de Tupi Paulista;PMTP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Turuçu;PMT;Administração pública direta;Pública;Pública
Prefeitura Municipal de Turvolândia;PMT;Administração pública direta;Pública;Pública
Prefeitura Municipal de Ubarana;PMU;Administração pública direta;Pública;Pública
Prefeitura Municipal de Ulianópolis;PMU;Administração pública direta;Pública;Pública
Prefeitura Municipal de Urandi;PMU;Administração pública direta;Pública;Pública
Prefeitura Municipal de Urucânia;PMU;Administração pública direta;Pública;Pública
Prefeitura Municipal de Urucuia;PMU;Administração pública direta;Pública;Pública
Prefeitura Municipal de Urupês;PMU;Administração pública direta;Pública;Pública
Prefeitura Municipal de Vacaria;PMV;Administração pública direta;Pública;Pública
Prefeitura Municipal de Vale de São Domingos;PMVSD;Administração pública direta;Pública;Pública
Prefeitura Municipal de Vale do Sol;PMVS;Administração pública direta;Pública;Pública
Prefeitura Municipal de Vale Real;PMVR;Administração pública direta;Pública;Pública
Prefeitura Municipal de Vanini;PMV;Administração pública direta;Pública;Pública
Prefeitura Municipal de Vargem;PMV;Administração pública direta;Pública;Pública
Prefeitura Municipal de Vargem Bonita;PMVB;Administração pública direta;Pública;Pública
Prefeitura Municipal de Varre-Sai;PMVS;Administração pública direta;Pública;Pública
Prefeitura Municipal de Várzea;PMV;Administração pública direta;Pública;Pública
Prefeitura Municipal de Várzea Alegre;PMVA;Administração pública direta;Pública;Pública
Prefeitura Municipal de Vassouras;PMV;Administração pública direta;Pública;Pública
Prefeitura Municipal de Venturosa;PMV;Administração pública direta;Pública;Pública
Prefeitura Municipal de Vera Cruz;PMVCZ;Administração pública direta;Pública;Pública
Prefeitura Municipal de Vera Mendes;PMVM;Administração pública direta;Pública;Pública
Prefeitura Municipal de Veranópolis;PMV;Administração pública direta;Pública;Pública
Prefeitura Municipal de Veríssimo;PMV;Administração pública direta;Pública;Pública
Prefeitura Municipal de Vespasiano Correa;PMVC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Vicentinópolis;PMV;Administração pública direta;Pública;Pública
Prefeitura Municipal de Viçosa;PMV;Administração pública direta;Pública;Pública
Prefeitura Municipal de Vila Bela da Santíssima Trindade;DAE;Administração pública direta;Pública;Pública
Prefeitura Municipal de Vila Langaro;PMVL;Administração pública direta;Pública;Pública
Prefeitura Municipal de Vila Maria;PMVM;Administração pública direta;Pública;Pública
Prefeitura Municipal de Vila Nova do Piauí;PMVNP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Vila Nova do Sul;PMVNS;Administração pública direta;Pública;Pública
Prefeitura Municipal de Vila Nova dos Martírios;PMVNM;Administração pública direta;Pública;Pública
Prefeitura Municipal de Vila Pavão;PMVP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Viradouro;PMV;Autarquia;Pública;Pública
Prefeitura Municipal de Virginópolis;PMV;Administração pública direta;Pública;Pública
Prefeitura Municipal de Vista Alegre do Alto;PMVAA;Administração pública direta;Pública;Pública
Prefeitura Municipal de Vista Alegre do Prata;PMVAP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Vitória das Missões;PMVM;Administração pública direta;Pública;Pública
Prefeitura Municipal de Volta Grande;PMVG;Administração pública direta;Pública;Pública
Prefeitura Municipal de Westfalia;PMW;Administração pública direta;Pública;Pública
Prefeitura Municipal de Zabelê;PMZ;Administração pública direta;Pública;Pública
Prolagos S/A - Concessionária de Serviços Públicos de Água e Esgoto;PROLAGOS;Empresa privada;Privada;Privada
SAAE - Serviço Autônomo de Água e Esgoto;SAAE;Autarquia;Pública;Pública
SAMAE - Água dos Canyons;SAMAE;Autarquia;Pública;Pública
Sanarj Concessionária de Saneamento Básico Ltda;SANARJ;Empresa privada;Privada;Privada
Saneamento Ambiental de Águas de Lindóia;SAAE;Autarquia;Pública;Pública
Saneamento Ambiental de Atibaia;SAAE;Empresa pública;Pública;Pública
Saneamento Básico de Jangada Ltda;SBJ;Empresa privada;Privada;Privada
Saneamento Básico de Pedra Preta Ltda;SBPP;Empresa privada;Privada;Privada
Saneamento Básico do Município de Mauá;SAMA;Autarquia;Pública;Pública
Saneamento Básico Vinhedo;SANEBAVI;Autarquia;Pública;Pública
Saneamento de Goiás S/A;SANEAGO;Sociedade de economia mista com administração pública;Pública;CESB
Saneamento de Mirassol - Sanessol S.A;SANESSOL;Empresa privada;Privada;Privada
Saneaqua Mairinque S/A;SM;Empresa privada;Privada;Privada
Sanesalto Saneamento S.A.;SANESALTO;Empresa privada;Privada;Privada
São Gabriel Saneamento S.A;SGS;Administração pública direta;Pública;Pública
Secretaria Municipal de Águas e Saneamento;SEMASA;Autarquia;Pública;Pública
Semae Ambiental Embauba;SEMAE;Autarquia;Pública;Pública
Serviço  Autônomo Municipal de Água e Esgoto;SAMAE;Autarquia;Pública;Pública
Serviço Autárquico Ambiental de Tanabi;SAAT;Autarquia;Pública;Pública
Serviço Autarquico de Água e Esgoto;SAAE;Autarquia;Pública;Pública
Serviço Autônomo;SAAJ;Autarquia;Pública;Pública
Serviço Autônomo Água e Esgoto;SAAE;Autarquia;Pública;Pública
Serviço Autônomo Água e Esgoto de Jaboticabal;SAAEJ;Autarquia;Pública;Pública
Serviço Autônomo Água e Esgoto e Meio Ambiente de Sertãozinho;SAEMAS;Autarquia;Pública;Pública
Serviço Autônomo de Água de Água e Esgoto;SAAE;Autarquia;Pública;Pública
Serviço Autônomo de Água e Esgoto;SAAE;Autarquia;Pública;Pública
Serviço Autônomo de Água e Esgoto - São Domingos do Norte;SAAESDN;Autarquia;Pública;Pública
Serviço Autônomo de Água e Esgoto da Gameleira;SAAEG;Autarquia;Pública;Pública
Serviço Autônomo de Água e Esgoto de Alexandria;SAAE;Autarquia;Pública;Pública
Serviço Autônomo de Água e Esgoto de Alvorada do Sul;SAAE;Autarquia;Pública;Pública
Serviço Autônomo de Água e Esgoto de Angra dos Reis;SAAE;Autarquia;Pública;Pública
Serviço Autônomo de Água e Esgoto de Barra Mansa;SAAE;Autarquia;Pública;Pública
Serviço Autônomo de Água e Esgoto de Barretos;SAAEB;Autarquia;Pública;Pública
Serviço Autônomo de Água e Esgoto de Bebedouro;SAAEB;Autarquia;Pública;Pública
Serviço Autônomo de Água e Esgoto de Brodowski;SAAEB;Autarquia;Pública;Pública
Serviço Autônomo de Água e Esgoto de Brotas;SAAEB;Autarquia;Pública;Pública
Serviço Autônomo de Água e Esgoto de Cacoal;SAAE Cacoal;Autarquia;Pública;Pública
Serviço Autônomo de Água e Esgoto de Campestre do Maranhão;SAAE;Autarquia;Pública;Pública
Serviço Autônomo de Água e Esgoto de Canindé;SAAE;Autarquia;Pública;Pública
Serviço Autônomo de Água e Esgoto de Cerquilho;SAAEC;Autarquia;Pública;Pública
Serviço Autônomo de Água e Esgoto de Codó;SAAE;Autarquia;Pública;Pública
Serviço Autônomo de Água e Esgoto de Colina;SAEC;Autarquia;Pública;Pública
Serviço Autônomo de Água e Esgoto de Cordeirópolis;SAAE;Autarquia;Pública;Pública
Serviço Autônomo de Água e Esgoto de Corguinho;SAAE;Autarquia;Pública;Pública
Serviço Autônomo de Água e Esgoto de Dois Córregos;SAAEDOCO;Autarquia;Pública;Pública
SERVIÇO AUTÔNOMO DE ÁGUA E ESGOTO DE DOM ELISEU;SAAE;Autarquia;Pública;Pública
Serviço Autônomo de Água e Esgoto de Guarani;SAEG;Autarquia;Pública;Pública
Serviço Autônomo de Água e Esgoto de Ibirarema;SAAEI;Autarquia;Pública;Pública
Serviço Autônomo de Água e Esgoto de Iconha;SAAE;Autarquia;Pública;Pública
Serviço Autônomo de Água e Esgoto de Iguaraçu;SAAE;Autarquia;Pública;Pública
Serviço Autônomo de Água e Esgoto de Iguatama;SAAE;Autarquia;Pública;Pública
Serviço Autônomo de Água e Esgoto de Iguatu;SAAE;Autarquia;Pública;Pública
Serviço Autônomo de Água e Esgoto de Itabira;SAAE-Itabira;Autarquia;Pública;Pública
Serviço Autônomo de Água e Esgoto de Itajuípe;SAAE;Autarquia;Pública;Pública
Serviço Autônomo de Água e Esgoto de Itápolis;SAAEI;Autarquia;Pública;Pública
Serviço Autônomo de Água e Esgoto de Jacareí;SAAE;Autarquia;Pública;Pública
Serviço Autônomo de Água e Esgoto de Juazeiro;SAAE;Autarquia;Pública;Pública
Serviço Autônomo de Água e Esgoto de Linhares;SAAE;Autarquia;Pública;Pública
Serviço Autônomo de Água e Esgoto de Luz;SAAE;Autarquia;Pública;Pública
Serviço Autônomo de Água e Esgoto de Mariana;SAAE;Autarquia;Pública;Pública
Serviço Autônomo de Água e Esgoto de Mimoso do Sul;SAAE;Autarquia;Pública;Pública
Serviço Autônomo de Água e Esgoto de Mirandópolis;SAAEM;Autarquia;Pública;Pública
Serviço Autônomo de Água e Esgoto de Moema;SAAEM;Autarquia;Pública;Pública
Serviço Autônomo de Água e Esgoto de Pains;SAAE;Autarquia;Pública;Pública
Serviço Autônomo de Água e Esgoto de Paraíso das Águas;SAAE;Autarquia;Pública;Pública
Serviço Autônomo de Água e Esgoto de Paraisópolis;SAAE;Autarquia;Pública;Pública
Serviço Autônomo de Água e Esgoto de Paraupebas;SAAEP;Autarquia;Pública;Pública
Serviço Autônomo de Água e Esgoto de Pompéia/Sp;SAAE;Autarquia;Pública;Pública
Serviço Autônomo de Água e Esgoto de Raposa;SAAE;Autarquia;Pública;Pública
Serviço Autônomo de Água e Esgoto de Rio das Ostras;SAAE-RO;Autarquia;Pública;Pública
Serviço Autônomo de Água e Esgoto de São José da Laje;SAAE;Autarquia;Pública;Pública
Serviço Autônomo de Água e Esgoto de São Pedro;SAAESP;Autarquia;Pública;Pública
Serviço Autônomo de Água e Esgoto de Sertanópolis;SAAE;Autarquia;Pública;Pública
Serviço Autônomo de Água e Esgoto de Táguaritinga;SAAET;Autarquia;Pública;Pública
Serviço Autônomo de Água e Esgoto de Timon;SAAE;Autarquia;Pública;Pública
Serviço Autônomo de Água e Esgoto de Três Rios;SAAETRI;Autarquia;Pública;Pública
Serviço Autônomo de Água e Esgoto de Volta Redonda;SAAE;Autarquia;Pública;Pública
Serviço Autônomo de Água e Esgoto do município de Severínia;SAAE;Autarquia;Pública;Pública
Serviço Autônomo de Água e Esgoto do Município de Teotônio Vilela;SAAE;Autarquia;Pública;Pública
Serviço Autônomo de Água e Esgoto e Meio Ambiente de Buritama;SAAEMB;Autarquia;Pública;Pública
Serviço Autônomo de Água e Esgoto Madalena;SAAE;Autarquia;Pública;Pública
Serviço Autônomo de Água e Esgotos;SAAE;Autarquia;Pública;Pública
Serviço Autônomo de Água e Esgotos de Doutor Severiano;SAAE;Autarquia;Pública;Pública
Serviço Autônomo de Água e Esgotos de Icapuí;SAAE;Autarquia;Pública;Pública
Serviço Autônomo de Água e Esgotos de Lençóis Paulista;SAAE;Autarquia;Pública;Pública
Serviço Autônomo de Água e Esgotos de Marumbi;SAAEM;Autarquia;Pública;Pública
Serviço Autônomo de Água e Esgotos de Mogi Mirim;SAAE;Autarquia;Pública;Pública
Serviço Autônomo de Água e Esgotos de Taparuba;SAAE;Autarquia;Pública;Pública
Serviço Autônomo de Água e Esgotos e Resíduos Sólidos;SAAE;Autarquia;Pública;Pública
Serviço Autônomo de Água, Esgoto e Meio Ambiente;SAAE;Autarquia;Pública;Pública
Serviço Autônomo de Água, Esgoto e Meio Ambiente de Monte Azul Paulista;SAEMAP;Autarquia;Pública;Pública
Serviço Autônomo de Água, Esgoto e Saneamento Urbano;SAAE;Autarquia;Pública;Pública
Serviço Autônomo de Águas e Esgoto de Quixeramobim;SAAE;Autarquia;Pública;Pública
Serviço Autônomo de Águas e Esgotos;SAAE;Autarquia;Pública;Pública
Serviço Autônomo de Saneamento Ambiental de Braúna;SASB;Autarquia;Pública;Pública
Serviço Autônomo de Saneamento Básico;SAMAE;Autarquia;Pública;Pública
Serviço Autônomo de Saneamento Básico de Rio Rufino;SASB;Autarquia;Pública;Pública
Serviço Autônomo de Saneamento de Cabeceira Grande;SANECAB;Autarquia;Pública;Pública
Serviço Autônomo de Saneamento de Pelotas;SANEP;Autarquia;Pública;Pública
Serviço Autônomo Municipal;SAMAE;Autarquia;Pública;Pública
Serviço Autônomo Municipal de Água e Esgoto;SAMAE;Autarquia;Pública;Pública
SERVIÇO AUTONOMO MUNICIPAL DE ÁGUA E ESGOTO DE ANDIRÁ;SAMAE;Autarquia;Pública;Pública
Serviço Autônomo Municipal de Água e Esgoto de Ilhota;SAMAE;Autarquia;Pública;Pública
Serviço Autônomo Municipal de Água e Esgoto de Jaraguá do Sul;SAMAE;Autarquia;Pública;Pública
Serviço Autônomo Municipal de Água e Esgoto de Mogi Guaçu;SAMAE;Autarquia;Pública;Pública
Serviço Autônomo Municipal de Água e Esgotos;SAMAE;Autarquia;Pública;Pública
Serviço Autônomo Municipal de Água e Saneamento Ambiental;SAMASA;Autarquia;Pública;Pública
SERVIÇO AUTÔNOMO SANEAMENTO BÁSICO;SAAE;Autarquia;Pública;Pública
Serviço Colatinense de Meio Ambiente e Saneamento Ambiental;SANEAR;Autarquia;Pública;Pública
Serviço de Abastecimento de Água e Tratamento de Esgotos;SAATE;Autarquia;Pública;Pública
Serviço de Água e Esgoto de Artur Nogueira;SAEAN;Autarquia;Pública;Pública
Serviço de Água e Esgoto de Engenheiro Coelho;SAEEC;Autarquia;Pública;Pública
Serviço de Água e Esgoto de Marialva;SAEMA;Autarquia;Pública;Pública
Serviço de Água e Esgoto de Pirassununga;SAEP;Autarquia;Pública;Pública
Serviço de Água e Esgoto de Sobral;SAAE;Autarquia;Pública;Pública
Serviço de Água e Esgoto do Município de Bariri;SAEMBA;Autarquia;Pública;Pública
Serviço de Água e Saneamento;SAS;Autarquia;Pública;Pública
Serviço de Água, Esgoto e Limpeza Pública;SAELP;Autarquia;Pública;Pública
Serviço de Água, Esgoto e Meio Ambiente do Município de Araras;SAEMA;Autarquia;Pública;Pública
Serviço de Autônomo de Água e Esgoto;SAAE;Autarquia;Pública;Pública
Serviço de Infra-Estrutura, Saneamento e Abastecimento de Água Municipal;SISAM;Autarquia;Pública;Pública
Serviço de Saneamento Ambiental Águas do Pantanal;SSAAP;Autarquia;Pública;Pública
Serviço de Saneamento Ambiental de Rondonópolis;SANEAR;Autarquia;Pública;Pública
Serviço de Saneamento Ambiental Municipal;SESAM;Autarquia;Pública;Pública
Serviço de Tratamento de Água e Esgoto;SETAE;Empresa privada;Privada;Privada
Serviço Intermunicipal de Água e Esgoto;SIMAE;Autarquia;Pública;Pública
Serviço Municipal Autônomo de Água e Esgoto;SEMAE;Autarquia;Pública;Pública
Serviço Municipal de Água e Esgoto;SAMAE;Autarquia;Pública;Pública
Serviço Municipal de Água e Esgoto de Ouro Preto;SEMAE;Autarquia;Pública;Pública
Serviço Municipal de Água e Esgotos;SEMAE;Autarquia;Pública;Pública
Serviço Municipal de Água Saneamento Básico e Infra-Estrutura de Itajaí;SEMASA;Autarquia;Pública;Pública
Serviço Municipal de Água, Infra-Estrutura e Saneamento de Canelinha;SEMAIS;Autarquia;Pública;Pública
Serviço Municipal de Águas e Esgotos;SAAE;Autarquia;Pública;Pública
Serviço Municipal de Saneamento Ambiental de Santo André;SEMASA;Autarquia;Pública;Pública
Serviço Municipal de Saneamento Básico;SAAE;Autarquia;Pública;Pública
Serviço Municipal de Saneamento Básico e Infraestrutura;SEMASA;Autarquia;Pública;Pública
Serviços Autônomo de Água e Esgoto;SAAE;Autarquia;Pública;Pública
Serviços Autônomos de Água e Esgotos;SAAE;Autarquia;Pública;Pública
Serviços de Água e Esgoto de Novo Hamburgo;COMUSA;Autarquia;Pública;Pública
Setor de Água e Esgoto;SAE;Administração pública direta;Pública;Pública
Sistema Autônomo de Água e Esgotos;SAAE;Autarquia;Pública;Pública
Sistema de Água e Esgoto de Chapadão do Céu;SANEACÉU;Autarquia;Pública;Pública
SISTEMA DE ÁGUA, ESGOTO E SANEAMENTO AMBIENTAL;SAESA;Autarquia;Pública;Pública
Sistema Municipal de Saneamento de Senador Canedo;SMS;Autarquia;Pública;Pública
Sociedade Anônima de Água e Esgoto do Crato;SAAEC;Sociedade de economia mista com administração pública;Pública;Pública
Sociedade de Abastecimento de Água e Saneamento;SANASA;Sociedade de economia mista com administração pública;Pública;Pública
Soluções Ambientais de Araçatuba S.A.;SAMAR;Empresa privada;Privada;Privada
Superintendência Autônoma de Água e Esgoto de São José do Rio Pardo;SAAESRP;Autarquia;Pública;Pública
Superintendência de Água e Esgoto;SAE;Autarquia;Pública;Pública
Superintendência de Água e Esgoto Chavantes;SAEC;Autarquia;Pública;Pública
Superintendência de Água e Esgoto de Catanduva;SAEC;Autarquia;Pública;Pública
Superintendência de Água e Esgoto de Manduri;SAEMAN;Autarquia;Pública;Pública
Superintendência de Água e Esgoto de Ourinhos;SAE;Autarquia;Pública;Pública
Superintendência de Água e Esgoto e Meio Ambiente de Olímpia;DAEMO;Autarquia;Pública;Pública
Superintendência de Água e Esgotos da Cidade de Leme;SAECIL;Autarquia;Pública;Pública
Superintendência de Água e Esgotos de Ituiutaba;SAE;Autarquia;Pública;Pública
Superintendência de Água, Esgotos e Meio Ambiente de Votuporanga;SAEV;Autarquia;Pública;Pública
Superintendência Municipal de Água e Esgoto;SAE;Autarquia;Pública;Pública
Tubarão Saneamento S.A.;TBSSA;Empresa privada;Privada;Privada
Departamento Municipal de Água e Esgotos;DMAE;Autarquia;Pública;Pública
Prefeitura Municipal de Água Branca;PMAB;Administração pública direta;Pública;Pública
Prefeitura Municipal de Itapiranga;PMI;Administração pública direta;Pública;Pública
Serviço Autônomo de Água e Esgoto;SAAESA;Autarquia;Pública;Pública
Serviço Autônomo de Água e Esgoto;SAE;Autarquia;Pública;Pública
Serviço Autônomo de Água e Esgoto;SAEMI;Autarquia;Pública;Pública
Serviço Autônomo de Água e Esgoto;SAMAE;Autarquia;Pública;Pública
Serviço Autônomo de Água e Esgoto;SEMAE;Autarquia;Pública;Pública
Serviço Autônomo de Água e Esgoto;SEMAE;Autarquia;Pública;Pública
Departamento de Água e Esgoto;DAE;Autarquia;Pública;Pública
Departamento Municipal de Água e Esgoto;DEMAE;Autarquia;Pública;Pública
Departamento de Água;DAE;Autarquia;Pública;Pública
